BJD - 2454833, Corrected Flux
1979.019768761, 1.004327615,
1979.060633181, 1.004370528,
1979.081065540, 1.004252594,
1979.101497800, 1.004405357,
1979.121930158, 1.004324683,
1979.142362316, 1.004170087,
1979.162794574, 1.004252938,
1979.183226831, 1.004025424,
1979.203659087, 1.004097579,
1979.224091343, 1.003964014,
1979.244523599, 1.003983980,
1979.285388109, 1.003996660,
1979.305820364, 1.003951443,
1979.326252617, 1.004131598,
1979.346684871, 1.004080640,
1979.367117224, 1.004222134,
1979.387549376, 1.003989874,
1979.407981628, 1.004003609,
1979.428413979, 1.004120254,
1979.448846130, 1.003980178,
1979.469278380, 1.004102525,
1979.489710730, 1.004059784,
1979.510142880, 1.004157936,
1979.530575129, 1.003867961,
1979.551007478, 1.004046054,
1979.571439626, 1.004039384,
1979.591871974, 1.004049864,
1979.612304221, 1.004156943,
1979.632736467, 1.004089393,
1979.653168713, 1.004006342,
1979.673600959, 1.004300129,
1979.694033205, 1.004055757,
1979.714465450, 1.004234831,
1979.734897694, 1.004042533,
1979.755329938, 1.004181747,
1979.775762181, 1.003884012,
1979.796194424, 1.004026677,
1979.816626667, 1.004038867,
1979.837059009, 1.004170125,
1979.857491150, 1.004033872,
1979.877923391, 1.004027419,
1979.898355632, 1.004037651,
1979.918787872, 1.004300401,
1979.939220112, 1.004593465,
1979.959652351, 1.004059824,
1979.980084590, 1.003889603,
1980.000516828, 1.003876140,
1980.020949066, 1.003853251,
1980.041381303, 1.003931749,
1980.061813640, 1.003993878,
1980.082245777, 1.004027722,
1980.102678013, 1.004114832,
1980.123110348, 1.003996659,
1980.143542483, 1.003909675,
1980.163974718, 1.004183031,
1980.184407052, 1.004008234,
1980.204839285, 1.004089451,
1980.225271419, 1.003923339,
1980.245703751, 1.003934678,
1980.266135984, 1.004156685,
1980.286568115, 1.003852865,
1980.307000447, 1.003928346,
1980.327432678, 1.000277417,
1980.347864808, 0.997567066,
1980.368297138, 0.998294690,
1980.388729367, 0.997458055,
1980.409161496, 0.997606134,
1980.429593825, 0.998527486,
1980.450026053, 1.002620723,
1980.470458280, 1.003876308,
1980.490890508, 1.003844705,
1980.511322734, 1.003875525,
1980.531755061, 1.003685007,
1980.552187186, 1.003788174,
1980.572619412, 1.003733486,
1980.593051736, 1.003810916,
1980.633916085, 1.003716547,
1980.654348408, 1.003795708,
1980.674780531, 1.003789318,
1980.695212754, 1.003850701,
1980.715645076, 1.003700013,
1980.736077198, 1.003745878,
1980.756509419, 1.003693831,
1980.776941739, 1.003760268,
1980.797373859, 1.003801520,
1980.817806079, 1.003710605,
1980.838238398, 1.003770260,
1980.858670517, 1.003871255,
1980.879102736, 1.003678907,
1980.899535053, 1.003581314,
1980.919967171, 1.003532623,
1980.940399388, 1.003599545,
1980.960831704, 1.003370676,
1980.981263821, 1.003483885,
1981.042560566, 1.003666055,
1981.062992781, 1.003603807,
1981.083424994, 1.003644595,
1981.103857207, 1.003704841,
1981.124289420, 1.003577038,
1981.144721633, 1.003538269,
1981.165153845, 1.003647417,
1981.185586156, 1.003616951,
1981.206018267, 1.003502184,
1981.226450478, 1.003657077,
1981.246882788, 1.003538896,
1981.267314898, 1.003464034,
1981.287747107, 1.003496643,
1981.308179416, 1.003655881,
1981.328611524, 1.003492291,
1981.349043732, 1.003474013,
1981.369476039, 1.003326848,
1981.389908147, 1.003697709,
1981.410340353, 1.003496539,
1981.430772559, 1.003529866,
1981.451204764, 1.003469306,
1981.471637070, 1.003356214,
1981.594230291, 1.003158973,
1981.614662493, 1.003255228,
1981.635094594, 1.003125521,
1981.655526896, 1.003166518,
1981.675959096, 1.003181761,
1981.696391196, 1.003374719,
1981.716823496, 1.003083710,
1981.737255695, 1.003257073,
1981.757687794, 1.003213931,
1981.778120092, 1.003060507,
1981.798552290, 1.003177711,
1981.818984388, 1.003297284,
1981.839416685, 1.003069126,
1981.859848881, 1.002758548,
1981.880281077, 1.003251440,
1981.900713273, 1.003074820,
1981.921145468, 1.003026987,
1981.941577762, 1.003030587,
1981.962009857, 1.002945570,
1981.982442051, 1.002775403,
1982.002874344, 1.002919924,
1982.023306537, 1.002674023,
1982.043738629, 1.002713350,
1982.064170921, 1.002784894,
